NC_000001.11 248956422
NT_187361.1 175055
NT_187362.1 32032
NT_187363.1 127682
NT_187364.1 66860
NT_187365.1 40176
NT_187366.1 42210
NT_187367.1 176043
NT_187368.1 40745
NT_187369.1 41717
NC_000002.12 242193529
NT_187370.1 161471
NT_187371.1 153799
NC_000003.12 198295559
NT_167215.1 155397
NC_000004.12 190214555
NT_113793.3 209709
NC_000005.10 181538259
NT_113948.1 92689
NC_000006.12 170805979
NC_000007.14 159345973
NC_000008.11 145138636
NC_000009.12 138394717
NT_187372.1 40062
NT_187373.1 38054
NT_187374.1 176845
NT_187375.1 39050
NC_000010.11 133797422
NC_000011.10 135086622
NC_000012.12 133275309
NC_000013.11 114364328
NC_000014.9 107043718
NT_113796.3 201709
NT_167219.1 211173
NT_187377.1 194050
NT_113888.1 191469
NT_187378.1 38115
NT_187379.1 39555
NT_187380.1 172810
NT_187381.1 43739
NC_000015.10 101991189
NT_187382.1 448248
NC_000016.10 90338345
NT_187383.1 1872759
NC_000017.11 83257441
NT_113930.2 185591
NT_187384.1 280839
NT_187385.1 112551
NC_000018.10 80373285
NC_000019.10 58617616
NC_000020.11 64444167
NC_000021.9 46709983
NC_000022.11 50818468
NT_187386.1 150754
NT_187387.1 41543
NT_187388.1 179772
NT_187390.1 42811
NT_187391.1 181920
NT_187392.1 103838
NT_187393.1 99375
NT_187394.1 73985
NC_000023.11 156040895
NC_000024.10 57227415
NT_187395.1 37240
NT_187396.1 2274
NT_187397.1 2165
NT_187398.1 1942
NT_187399.1 1472
NT_187400.1 21476
NT_187401.1 4416
NT_187402.1 1201
NT_187403.1 1444
NT_187404.1 2276
NT_187405.1 998
NT_187406.1 12399
NT_187407.1 37690
NT_187408.1 1179
NT_187409.1 2646
NT_187410.1 2489
NT_187411.1 1029
NT_187412.1 2145
NT_187413.1 2321
NT_187414.1 2140
NT_187415.1 2043
NT_187416.1 1445
NT_187417.1 981
NT_187418.1 1884
NT_187419.1 1361
NT_187420.1 392061
NT_187421.1 1233
NT_187422.1 1774
NT_187423.1 3920
NT_187424.1 92983
NT_187425.1 112505
NT_187426.1 4055
NT_187427.1 2415
NT_187428.1 2318
NT_187429.1 2186
NT_187430.1 1951
NT_187431.1 1300
NT_187432.1 22689
NT_187433.1 138126
NT_187434.1 5674
NT_187435.1 8127
NT_187436.1 6361
NT_187437.1 5353
NT_187438.1 3253
NT_187439.1 1899
NT_187440.1 2983
NT_187441.1 2168
NT_187442.1 993
NT_187443.1 91309
NT_187444.1 1202
NT_187445.1 1599
NT_187446.1 1400
NT_187447.1 2969
NT_187448.1 1553
NT_187449.1 7046
NT_187450.1 31033
NT_187451.1 44474
NT_187452.1 4685
NT_187453.1 4513
NT_187454.1 6504
NT_187455.1 6158
NT_187456.1 3041
NT_187457.1 5796
NT_187458.1 1652
NT_187459.1 1040
NT_187460.1 1368
NT_187461.1 2699
NT_187462.1 1048
NT_187463.1 1428
NT_187464.1 1428
NT_187465.1 1026
NT_187466.1 1121
NT_187467.1 1803
NT_187468.1 2855
NT_187469.1 3530
NT_187470.1 8320
NT_187471.1 1048
NT_187472.1 1045
NT_187473.1 1298
NT_187474.1 2387
NT_187475.1 1537
NT_187476.1 1143
NT_187477.1 1880
NT_187478.1 1216
NT_187479.1 970
NT_187480.1 1788
NT_187481.1 1484
NT_187482.1 1750
NT_187483.1 1308
NT_187484.1 1658
NT_187485.1 971
NT_187486.1 1930
NT_187487.1 990
NT_187488.1 4215
NT_187489.1 1136
NT_187490.1 2656
NT_187491.1 1650
NT_187492.1 1451
NT_187493.1 2378
NT_187494.1 2805
NT_187495.1 7992
NT_187496.1 7642
NT_113901.1 182896
NT_167213.1 179198
NT_167214.1 161802
NT_167218.1 179693
NT_187497.1 157432
NT_167220.1 15008
NT_167208.1 164239
NT_187498.1 210658
NT_187499.1 168472
NT_187500.1 41891
NT_187501.1 66486
NT_187502.1 198735
NT_187503.1 93321
NT_187504.1 158759
NT_187505.1 148850
NT_187506.1 150742
NT_187508.1 62944
NT_187509.1 40191
NT_187510.1 36723
NT_187511.1 79590
NT_187512.1 71251
NT_167209.1 137718
NT_187513.1 186739
NT_167211.2 176608
NT_113889.1 161147
NW_012132914.1 467143
NW_015495298.1 278659
NW_025791756.1 1572686
NW_011332688.1 305542
NW_014040926.1 349938
NW_009646195.1 166200
NW_018654706.1 166136
NW_019805487.1 44955
NW_009646194.1 186494
NW_018654707.1 140355
NW_014040925.1 141019
NW_017852928.1 551020
NW_009646196.1 122022
NW_025791753.1 516764
NW_025791758.1 211934
NW_025791759.1 250447
NW_025791754.1 847441
NW_011332687.1 460100
NW_018654708.1 330031
NW_014040927.1 212205
NW_025791757.1 210426
NW_025791755.1 335159
NW_021159988.1 84043
NW_025791767.1 244725
NW_025791768.1 174385
NW_025791766.1 489404
NW_025791763.1 284971
NW_012132915.1 481245
NW_025791760.1 431782
NW_025791765.1 955087
NW_018654709.1 181658
NW_025791762.1 500581
NW_025791761.1 535251
NW_025791764.1 120381
NW_015495299.1 535088
NW_018654710.1 140361
NW_011332690.1 365499
NW_021159987.1 145975
NW_011332689.1 208149
NW_017363813.1 411654
NW_025791770.1 301310
NW_025791771.1 475876
NW_009646197.1 451168
NW_012132916.1 373699
NW_011332691.1 415308
NW_021159989.1 215443
NW_018654711.1 175849
NW_012132917.1 165718
NW_009646198.1 305979
NW_019805491.1 105527
NW_019805492.1 195063
NW_019805490.1 302885
NW_019805489.1 197752
NW_019805488.1 164041
NW_025791769.1 469342
NW_021159990.1 235734
NW_021159993.1 176674
NW_013171799.1 90922
NW_025791774.1 205691
NW_021159992.1 53476
NW_021159994.1 125549
NW_021159991.1 341066
NW_021159995.1 276109
NW_013171800.1 163749
NW_013171801.1 236512
NW_025791772.1 308682
NW_017363814.1 420675
NW_025791773.1 113364
NW_015495301.1 205407
NW_015495300.1 230434
NW_025791777.1 2101585
NW_018654712.1 135987
NW_025791776.1 208405
NW_009646199.1 139087
NW_016107297.1 362221
NW_025791779.1 302485
NW_021159996.1 89956
NW_025791778.1 508332
NW_016107298.1 673059
NW_025791775.1 34400
NW_018654713.1 242796
NW_013171803.1 82315
NW_025791780.1 383128
NW_012132918.1 320750
NW_009646200.1 268330
NW_013171802.1 245716
NW_017363815.1 139427
NW_021159997.1 73265
NW_021159998.1 254759
NW_019805493.1 172555
NW_025791781.1 464417
NW_017852929.1 142129
NW_017852930.1 468267
NW_018654714.1 589656
NW_018654715.1 680662
NW_012132919.1 179932
NW_025791785.1 429744
NW_018654717.1 6367528
NW_017852932.1 265876
NW_025791782.1 150302
NW_017852931.1 156998
NW_025791784.1 106905
NW_019805494.1 103072
NW_025791786.1 207371
NW_018654716.1 165120
NW_025791783.1 39290
NW_013171804.1 163882
NW_013171805.1 134099
NW_025791789.1 569668
NW_025791787.1 340717
NW_025791788.1 482250
